@relation NoBuoyStrategy

@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
5.06,13.299999,315.009979,10.9728
4.64,13.11,313.259979,7.3152
3.08,10.68,319.97998,6.096
4.43,13.58,321.5,10.3632
3.95,13.44,317.999969,5.4864
4.83,15.309999,317.779999,12.192
6.46,16.139999,312.189972,16.4592
5.88,15.809999,310.009979,8.5344
4.89,16.67,314.749969,9.144
5.13,16.139999,313.029968,9.144
4.14,13.87,308.109985,4.8768
3.32,12.4,314.459991,3.048
2.3,11.37,315.679993,1.8288
2.27,13.16,303.720001,2.4384
3.38,15.03,308.459991,8.5344
3.37,14.8,307.889984,4.8768
3.7,13.86,298.959991,4.8768
4.53,9.15,67.290001,3.6576
5.28,11.190001,69.769997,3.6576
5.25,11.21,70.239998,3.6576
4.94,11.11,67.889999,3.048
4.04,10.28,68.470001,2.4384
3.03,9.95,67.129997,2.4384
2.54,9.87,63.589996,1.8288
2.33,9.43,77.669998,2.4384
2.26,9.469999,88.559998,2.4384
3.25,9.65,66.869995,4.8768
3.33,9.52,62.779999,3.6576
2.87,9.65,58.299995,2.4384
3.11,9.179999,82.989998,2.4384
2.97,9.07,86.25,3.6576
3.08,9.429999,93.040001,4.8768
3.05,9.45,93.439995,4.2672
2.61,13.469999,303.039978,3.6576
2.47,13.169999,309.849976,3.6576
3.15,11.889999,323,5.4864
3.31,13.459999,330.519989,6.096
3.13,13.01,331.779968,3.6576
2.5,10.67,327.339996,3.6576
3.92,12.52,355.549988,9.144
3.97,12.559999,358.170013,6.096
2.87,8.4,51.98,3.6576
2.95,8.87,50.549999,7.3152
3.03,9.13,53.34,4.2672
2.76,9.2,57.669998,4.8768
2.85,13.64,316.640015,6.096
2.84,13.37,316.059998,2.4384
2.21,7.04,79,1.2192
2.2,7.17,80.339996,1.8288
2.09,8.38,98.879997,2.4384
2.91,14.24,305.209991,6.096
3.54,13.35,307.339996,6.096
3.18,12.360001,310.390015,3.048
2.93,15.89,307.98999,3.6576
3.28,13.56,307.22998,7.3152
3.54,7.23,61.98,3.6576
3.5,7.55,66.799995,2.4384
3.34,8.4,72.190002,1.8288
2.51,8.11,57.259998,3.048
2.24,12.77,313.139984,1.8288
2.02,9.429999,328.319977,2.4384
2.65,9.07,343.98999,3.048
2.67,9.15,346.630005,2.4384
2.59,9.27,359.149994,2.4384
2.55,6.99,68.709999,1.8288
2.36,7.61,73.399994,1.8288
2,7.57,81.370003,2.4384
2.04,11.38,314.209991,2.4384
2.26,13.08,340.599976,4.8768
2.17,12.24,338.130005,3.048
2.92,13.799999,322.559998,5.4864
2.83,13.29,321.149994,4.2672
2.31,12.49,311.909973,2.4384
2.15,8.93,83.82,1.8288
